IT　「情報の共有化・有効活用（使い回し）」を実現するための技術。

OS　OSとは、ソフトウェアの種類の一つで、機器の基本的な管理や制御のための機能や、多くのソフトウェアが共通して利用する基本的な機能などを実装した、システム全体を管理するソフトウェア。

windows　マイクロソフト社が開発したOS。

macOS　すべてのMacを動かすオペレーティングシステム。

UNIX　UNIXとは最も古い歴史をもつOS（オペレーティングシステム）

Linux　最初からPCで動作するUNIX互換のオペレーティングシステム

HTML　Webページを作るための最も基本的なマークアップ言語のひとつ。

CSS　HTMLのタグで囲んだ範囲の文字の色・大きさ・背景の色や配置などを指定するための言語」です。

JavaScript　ブラウザ上でWebページをダイナミックに動かす簡単なプログラム

jQuery　JavaScriptを使いやすく拡張したもの

Apache　Apache（アパッチ）とは世界中で使用されているWebサーバーソフトウェア(HTTPサーバー)。

Bootstrap　BootstrapはHTML／CSS／JavaScriptから構成される最も有名なWEBフレームワーク

SE　クライアントの要望を元に設計書（仕様書）を作る

PG　SEの作った設計書を元にシステムを製作する

Webデザイナー　Web制作の必須スキルであるHTMLやCSSについての理解、デザインセンス、アクセシビリティやユーザビリティに配慮したUI（表示される画面）を実装したりする技術が必要

CUI　コンピュータやソフトウェアが利用者に情報を提示したり操作を受け付けたりする方法（ UI ：ユーザーインターフェース）の類型の一つで、すべてのやり取りを文字によって行う方式。

GUI　コンピュータの表示・操作体系（ ユーザーインターフェース ）の分類の一つで、情報の提示に画像や図形を多用し、基礎的な操作の大半を マウス や タッチスクリーン などによる画面上の位置の指示により行うことができるもの。

ファイル　パソコンでデータを扱うときの基本単位となる、データのまとまり

ディレクトリ　コンピュータ 上で 個々のデータを分類および整理するための、階層構造（ツリー構造）を持った場所

ルート・ディレクトリ　階層の一番上にあるディレクトリ

カレント・ディレクトリ　現在のディレクトリ

パス　道

絶対パス　URLでページを指定して、目的地（情報）がどこにあるのかを確実に伝えます。

相対パス　今いる場所（階層）を基準にして、目的地（情報）がどこにあるのかを伝えます。

HTTP　ホームページを表示するための世界共通のルール

FTP　サーバーとクライアント間で、ファイルを送受信する通信の決まりごと

HTTPS　https://”の場合は、データのやりとりをセキュア（＝暗号化）な状態で通信していますよ、ということ

SSL　インターネットなどのIPネットワークでデータを暗号化して送受信するプロトコル（通信手順）の一つ。

SSH　ネットワークに接続された機器を遠隔操作し、管理するための手段。

ポート、ポート番号　ポート（ネットワークとパソコンの間にあるドア）に割り振られている識別用の番号のこと。

ファイアウォール　外部のネットワークからの攻撃や不正なアクセスから自分たちのネットワークやコンピュータを防御するためのソフトウェアやハードウェア　

TCP　通信するときに使うお約束事（通信プロトコル）のひとつ

IPアドレス　パソコンやスマートフォンなどネットワーク上の機器を識別するために割り当てられていて、インターネット上での住所のような役割

グローバルIPアドレス　コンピュータや通信機器がインターネット上で通信するために必要なインターネット上の住所。

プライベートIPアドレス　会社や家庭などの組織内（ローカル）で一意に割り当てられるIPアドレス。

ドメイン　「インターネット上に存在するコンピューターやネットワークを識別するための名前
　
DNS　インターネットなどのTCP/IPネットワーク上でドメイン名やホスト名とIPアドレスの対応関係を管理するシステム。

VPN　企業内ネットワークの拠点間接続などに使われ、あたかも自社ネットワーク内部の通信のように遠隔地の拠点との通信が行える

ブリッジ　あっちのネットワークとこっちのネットワークをつなげますよ、的な接続のこと。

プロキシサーバー　ホームページを見るときに使うソフト（Webブラウザ）の代わりになってホームページにアクセスしてくれるコンピュータ（サーバ）のこと

SMTP　メールの送信(配送)の際に必要となるサーバー
　
POP　メールサーバーに保存されたメールを、受信者のパソコンなどへダウンロードする役割

IMAP　IMAPサーバーを利用することで、受信者はメールサーバーに保存したままの状態でメールを読むことができる。　
　
セッション　ある活動を継続して行っている状態のこと

クッキー　ウェブサイト（ホームページ）を訪れる人の「会員証」のようなはたらきをするもの

キャッシュ　1度開いたウェブページのデータを保存しておいて、次に同じページを開くときにサクっと表示してくれる仕組み
　
チューニング　プログラムやシステム設定などを改良し、 必要メモリー量や実行速度を改善すること

スロークエリ　データベースにおいて、時間のかかっているSQL(遅いSQL)のことをスロークエリと呼びます。

インデックス　検索エンジンさんの中に記録されているホームページの情報のこと

フロー　コンピュータプログラムを構成する命令や手続き、処理の流れなどのこと

単体テストひとつひとつのモジュール（プログラムの部品）がしっかりと機能しているか確認するテスト

結合テスト　モジュール単体でのテストをクリアしたモジュールと、その他外部モジュールを結合した状態でテスト

チケット管理ツール　タスク管理ツールのこと

タスク　コンピュータが行う仕事の処理単位

Git　オープンソースの分散バージョン管理システムの一つ。複数の開発者が共同で一つのソフトウェアを開発する際などに、ソースコードやドキュメントなどの編集履歴を統一的に管理するのに用いられる。

Source Tree　SourceTreeは、オーストラリアのAtlassian社が提供している無料のGitクライアントソフトウェア

SVN　ファイルの変更履歴を管理してくれるシステムのひとつ

コンフリクト　複数のプログラムが同じデータとかファイルを同じタイミングで使おうとして「俺が使うんだ～」「い～や、私が使うのよ～」になっている状態のこと

デグレ　プログラムにおいて、直したはずのバグ（プログラムのおかしいところ）が復活していたり、前はなかったはずのバグがあったり、実装したはずの機能がなくなっている状態のこと

　マージツール　FDLファイル又はDTDファイルの変更内容をMDLファイルにマージできるもの
